Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
An Introduction to Statistical Learning : with Applications in R,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani",2009.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4614/9781461471370.jpg,4.61,426.0,Hardback,2017-09-01,Springer,English,1461471370,9781461471370,"New York, NY",United States,155.0,235.0,25.4,1014.0
"The Elements of Statistical Learning : Data Mining, Inference, and Prediction, Second Edition","Trevor Hastie, Robert Tibshirani, Jerome Friedman",2357.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3878/9780387848570.jpg,4.4,745.0,Hardback,2009-02-09,Springer,English,0387848576,9780387848570,"New York, NY",United States,155.0,235.0,35.56,1179.34
Pattern Recognition and Machine Learning,Christopher M. Bishop,3038.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3873/9780387310732.jpg,4.3,738.0,Hardback,2011-04-06,Springer,English,0387310738,9780387310732,"New York, NY",United States,178.0,254.0,34.29,2147.0
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",2418.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262035613.jpg,4.44,800.0,Hardback,2017-04-18,MIT Press Ltd,English,0262035618,9780262035613,Cambridge,United States,178.0,229.0,32.0,1270.06
Advances in Financial Machine Learning,Marcos Lopez de Prado,1040.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1194/9781119482086.jpg,4.21,400.0,Hardback,2018-02-21,Wiley,English,1119482089,9781119482086,New York,United States,155.0,238.0,25.0,726.0
Understanding Machine Learning : From Theory to Algorithms,"Shai Shalev-Shwartz, Shai Ben-David",1824.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107057135.jpg,4.29,410.0,Hardback,2019-03-06,CAMBRIDGE UNIVERSITY PRESS,English,1107057132,9781107057135,Cambridge,United Kingdom,183.0,260.0,28.0,910.0
Reinforcement Learning : An Introduction,"Richard S. Sutton, Andrew G. Barto",2161.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039246.jpg,4.51,552.0,Hardback,2018-11-13,MIT Press Ltd,English,0262039249,9780262039246,Cambridge,United States,178.0,229.0,38.0,1179.34
The Hundred-Page Machine Learning Book,Andriy Burkov,1591.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9995/9781999579517.jpg,4.35,160.0,Hardback,2019-01-11,Andriy Burkov,English,1999579518,9781999579517,,,191.0,235.0,14.0,590.0
Bayesian Reasoning and Machine Learning,David Barber,2490.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5215/9780521518147.jpg,4.1,735.0,Hardback,2012-04-01,CAMBRIDGE UNIVERSITY PRESS,English,0521518148,9780521518147,Cambridge,United Kingdom,193.0,251.0,37.0,1710.0
Gaussian Processes for Machine Learning,"Carl Edward Rasmussen, Christopher K. I. Williams",1410.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2621/9780262182539.jpg,4.27,272.0,Hardback,2005-12-01,MIT Press Ltd,English,026218253X,9780262182539,Cambridge,United States,203.0,254.0,25.0,726.0
"Fundamentals of Machine Learning for Predictive Data Analytics : Algorithms, Worked Examples, and Case Studies","John D. Kelleher, Brian MAC Namee, Aoife D'arcy",2367.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262029445.jpg,4.39,624.0,Hardback,2019-12-19,MIT Press Ltd,English,0262029448,9780262029445,Cambridge,United States,178.0,229.0,29.0,1020.58
Machine Learning in Finance : From Theory to Practice,"Matthew F. Dixon, Igor Halperin, Paul Bilokon",2518.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030410674.jpg,3.25,548.0,Hardback,2020-07-02,Springer,English,3030410676,9783030410674,Cham,Switzerland,155.0,235.0,31.75,1021.0
Introduction to Machine Learning,Ethem Alpaydin,1958.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262043793.jpg,3.71,712.0,Hardback,2020-03-24,MIT Press Ltd,English,0262043793,9780262043793,Cambridge,United States,203.0,229.0,37.0,1451.5
"Machine Learning : An Algorithmic Perspective, Second Edition",Stephen Marsland,2714.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4665/9781466583283.jpg,3.94,457.0,Hardback,2014-11-17,Taylor & Francis,English,1466583282,9781466583283,Bosa Roca,United States,178.0,254.0,25.4,998.0
Linear Algebra and Optimization for Machine Learning : A Textbook,Charu C. Aggarwal,1920.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030403430.jpg,5.0,495.0,Hardback,2020-05-13,Springer,English,3030403432,9783030403430,Cham,Switzerland,178.0,254.0,28.7,1184.0
"Statistical and Machine-Learning Data Mining: : Techniques for Better Predictive Modeling and Analysis of Big Data, Third Edition",Bruce Ratner,2562.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498797603.jpg,,690.0,Hardback,2017-06-01,Taylor & Francis,English,1498797601,9781498797603,Portland,United States,178.0,254.0,43.18,1406.0
Data Science and Machine Learning : Mathematical and Statistical Methods,"Dirk P. Kroese, Zdravko Botev, Thomas Taimre, Radislav Vaisman",2885.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138492530.jpg,,510.0,Hardback,2019-11-22,Taylor & Francis,English,1138492531,9781138492530,London,United Kingdom,216.0,279.0,31.75,966.0
Foundations of Machine Learning,"Mehryar Mohri, Afshin Rostamizadeh, Ameet Talwalkar",2294.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039406.jpg,4.14,504.0,Hardback,2018-12-25,MIT Press Ltd,English,0262039400,9780262039406,Cambridge,United States,178.0,229.0,32.0,1270.06
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",Matt Taddy,977.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2604/9781260452778.jpg,4.29,352.0,Hardback,2019-08-21,McGraw-Hill Education,English,1260452778,9781260452778,OH,United States,193.0,244.0,31.0,733.0
Machine Learning Engineering,Andriy Burkov,1590.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7770/9781777005467.jpg,4.2,310.0,Hardback,2020-09-08,True Positive Inc.,English,1777005469,9781777005467,,,191.0,235.0,25.0,934.0
Fundamentals of Machine Learning for Predictive Data Analytics,John D. Kelleher,2378.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262044691.jpg,4.39,856.0,Hardback,2020-10-20,MIT Press Ltd,English,0262044692,9780262044691,,,178.0,229.0,38.1,1723.65
Statistical Learning with Sparsity : The Lasso and Generalizations,"Trevor Hastie, Robert Tibshirani, Martin Wainwright",3221.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498712163.jpg,4.08,367.0,Hardback,2015-08-21,Taylor & Francis,English,1498712169,9781498712163,Portland,United States,156.0,235.0,22.86,816.0
Big Data and Machine Learning in Quantitative Investment,Tony Guida,1449.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1195/9781119522195.jpg,4.45,296.0,Hardback,2019-04-02,Wiley,English,1119522196,9781119522195,New York,United States,170.0,250.0,22.0,660.0
Probabilistic Graphical Models : Principles and Techniques,"Daphne Koller, Nir Friedman",3586.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2620/9780262013192.jpg,4.18,1270.0,Hardback,2011-08-08,MIT Press Ltd,English,0262013193,9780262013192,Cambridge,United States,203.0,229.0,49.0,2132.0
Statistical Reinforcement Learning : Modern Machine Learning Approaches,Masashi Sugiyama,2911.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4398/9781439856895.jpg,3.4,206.0,Hardback,2015-06-05,Taylor & Francis,English,1439856893,9781439856895,Washington,United States,156.0,235.0,17.78,431.0
"Machine Learning Refined : Foundations, Algorithms, and Applications","Jeremy Watt, Reza Borhani, Aggelos K. Katsaggelos",2153.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108480727.jpg,4.27,594.0,Hardback,2020-03-31,CAMBRIDGE UNIVERSITY PRESS,English,1108480721,9781108480727,Cambridge,United Kingdom,183.0,255.0,29.0,1360.0
How We Learn : Why Brains Learn Better Than Any Machine . . . for Now,Stanislas Dehaene,628.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5255/9780525559887.jpg,4.38,352.0,Hardback,2020-01-28,VIKING,English,0525559884,9780525559887,,,155.0,229.0,33.0,558.0
Machine Learning : A Bayesian and Optimization Perspective,Sergios Theodoridis,2458.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1281/9780128188033.jpg,,1160.0,Hardback,2020-07-17,Elsevier Science Publishing Co Inc,English,0128188030,9780128188033,San Diego,United States,191.0,235.0,57.15,2350.0
Machine Learning for Text,Charu C. Aggarwal,1690.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3197/9783319735306.jpg,4.2,493.0,Hardback,2018-04-03,Springer,English,3319735306,9783319735306,Cham,Switzerland,178.0,254.0,28.7,1111.3
A First Course in Machine Learning,"Simon Rogers, Mark Girolami",2258.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498738484.jpg,3.95,397.0,Hardback,2016-08-15,Taylor & Francis,English,1498738486,9781498738484,Portland,United States,156.0,235.0,27.94,794.0
Mathematics for Machine Learning,"Marc Peter Deisenroth, A. Aldo Faisal, Cheng Soon Ong",2912.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108470049.jpg,4.35,398.0,Hardback,2020-08-27,CAMBRIDGE UNIVERSITY PRESS,English,1108470041,9781108470049,Cambridge,United Kingdom,180.0,259.0,19.0,950.0
"Data-Driven Science and Engineering : Machine Learning, Dynamical Systems, and Control","Steven L. Brunton, J. Nathan Kutz",1914.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108422093.jpg,4.91,492.0,Hardback,2020-02-21,CAMBRIDGE UNIVERSITY PRESS,English,1108422098,9781108422093,Cambridge,United Kingdom,184.0,261.0,24.0,1170.0
Introduction to Natural Language Processing,Jacob Eisenstein,2231.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262042840.jpg,4.12,536.0,Hardback,2019-10-01,MIT Press Ltd,English,0262042843,9780262042840,Cambridge,United States,178.0,229.0,29.0,979.76
Statistical Machine Learning : A Unified Framework,Richard Golden,3192.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138484696.jpg,,506.0,Hardback,2020-07-14,Taylor & Francis,English,1138484695,9781138484696,London,United Kingdom,178.0,254.0,25.4,1438.0
"Statistics, Data Mining, and Machine Learning in Astronomy : A Practical Python Guide for the Analysis of Survey Data, Updated Edition","Zeljko Ivezic, Andrew J. Connolly, Jacob T. Vanderplas, Alexander Gray",2374.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6911/9780691198309.jpg,4.0,560.0,Hardback,2019-12-03,Princeton University Press,English,0691198306,9780691198309,New Jersey,United States,178.0,254.0,40.64,1292.74
"Statistics, Data Mining, and Machine Learning in Astronomy : A Practical Python Guide for the Analysis of Survey Data","Zeljko Ivezic, Andrew J. Connolly, Jacob T. Vanderplas, Alexander Gray",2896.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6911/9780691151687.jpg,4.12,560.0,Hardback,2014-03-01,Princeton University Press,English,0691151687,9780691151687,New Jersey,United States,178.0,254.0,38.1,1247.0
Elements of Causal Inference : Foundations and Learning Algorithms,"Jonas Peters, Dominik Janzing, Bernhard Schoelkopf",1311.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262037310.jpg,3.73,288.0,Hardback,2018-04-05,MIT Press Ltd,English,0262037319,9780262037310,Cambridge,United States,178.0,229.0,22.0,680.39
Statistical Machine Learning for Human Behaviour Analysis,"Thomas Moeslund, Sergio Escalera, GHOLAMREZA ANBARJAFARI",1324.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0393/9783039362288.jpg,,300.0,Hardback,2020-06-17,MDPI AG,English,3039362283,9783039362288,,,170.0,244.0,24.0,844.0
The Alignment Problem : Machine Learning and Human Values,Brian Christian,889.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3936/9780393635829.jpg,4.26,496.0,Hardback,2020-10-23,WW Norton & Co,English,0393635821,9780393635829,New York,United States,165.0,244.0,43.0,748.0
Artificial Intelligence in Practice : How 50 Successful Companies Used AI and Machine Learning to Solve Problems,"Bernard Marr, Matt Ward",495.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1195/9781119548218.jpg,3.31,352.0,Hardback,2019-05-28,Wiley,English,1119548217,9781119548218,New York,United States,140.0,220.0,25.0,552.0
Machine Learning : The Art and Science of Algorithms that Make Sense of Data,Peter Flach,3440.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107096394.jpg,3.97,410.0,Hardback,2018-08-31,CAMBRIDGE UNIVERSITY PRESS,English,1107096391,9781107096394,Cambridge,United Kingdom,193.0,254.0,23.0,1040.0
Statistical and Machine Learning Approaches for Network Analysis,"Matthias Dehmer, Subhash C. Basak",3865.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4701/9780470195154.jpg,3.5,344.0,Hardback,2012-08-07,Wiley,English,0470195150,9780470195154,New York,United States,163.0,239.0,23.0,608.0
Statistical Learning from a Regression Perspective,Richard A. Berk,1535.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3194/9783319440477.jpg,4.42,347.0,Hardback,2016-11-04,Springer,English,3319440470,9783319440477,Cham,Switzerland,155.0,235.0,22.35,887.0
Data Mining and Machine Learning : Fundamental Concepts and Algorithms,"Mohammed J. Zaki, Wagner  Jr Meira",1939.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108473989.jpg,4.0,776.0,Hardback,2020-07-21,CAMBRIDGE UNIVERSITY PRESS,English,1108473989,9781108473989,Cambridge,United Kingdom,185.0,257.0,45.0,1560.0
Hands-On Machine Learning with R,"Brad Boehmke, Brandon M. Greenwell",2819.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138495685.jpg,4.43,456.0,Hardback,2019-11-15,Taylor & Francis,English,1138495689,9781138495685,London,United Kingdom,156.0,235.0,33.02,939.0
Machine Learning and Big Data with kdb+/q,"Jan Novotný, Paul A. Bilokon, Aris Galiotos, Frederic Deleze",1704.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1194/9781119404750.jpg,1.0,640.0,Hardback,2020-01-09,Wiley,English,1119404754,9781119404750,New York,United States,173.0,252.0,39.0,1218.0
"Statistical Modelling and Machine Learning Principles for Bioinformatics Techniques, Tools, and Applications","K. G. Srinivasa, G. M. Siddesh, S. R. Manisekhar",3462.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8115/9789811524448.jpg,5.0,317.0,Hardback,2020-01-31,Springer,English,9811524440,9789811524448,Singapore,Singapore,155.0,235.0,19.05,664.0
Adversarial Machine Learning,"Anthony D. Joseph, Blaine Nelson, Benjamin I. P. Rubinstein, J. D. Tygar",1811.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107043466.jpg,5.0,338.0,Hardback,2019-04-30,CAMBRIDGE UNIVERSITY PRESS,English,1107043468,9781107043466,Cambridge,United Kingdom,178.0,254.0,19.0,840.0
Machine Learning : A Practical Approach on the Statistical Learning Theory,"RODRIGO F MELLO, Moacir Antonelli Ponti",2811.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3199/9783319949888.jpg,4.5,362.0,Hardback,2018-08-13,Springer,English,3319949888,9783319949888,Cham,Switzerland,155.0,235.0,22.35,735.0
"Python for Probability, Statistics, and Machine Learning",Jose Unpingco,2125.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0301/9783030185442.jpg,3.89,384.0,Hardback,2019-07-11,Springer,English,3030185443,9783030185442,Cham,Switzerland,155.0,235.0,22.35,764.0
Demystifying Big Data and Machine Learning for Healthcare,"Prashant Natarajan, John C. Frenzel, Detlev H. Smaltz",1885.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1380/9781138032637.jpg,,210.0,Hardback,2017-02-02,Taylor & Francis,English,1138032638,9781138032637,London,United Kingdom,178.0,254.0,25.4,567.0
The Art of Statistics : How to Learn from Data,David Spiegelhalter,847.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5416/9781541618510.jpg,4.19,448.0,Hardback,2019-09-03,BASIC BOOKS,English,1541618513,9781541618510,,,163.0,231.0,38.0,680.0
"The Science of Algorithmic Trading and Portfolio Management : Applications Using Advanced Statistics, Optimization, and Machine Learning Techniques",Robert Kissell,1661.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1240/9780124016897.jpg,3.93,496.0,Hardback,2013-11-14,Elsevier Science Publishing Co Inc,English,0124016898,9780124016897,San Diego,United States,191.0,235.0,30.48,1160.0
Scaling up Machine Learning : Parallel and Distributed Approaches,"Ron Bekkerman, Mikhail Bilenko, John Langford",2221.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5211/9780521192248.jpg,4.07,492.0,Hardback,2012-01-31,CAMBRIDGE UNIVERSITY PRESS,English,0521192242,9780521192248,Cambridge,United Kingdom,185.0,259.0,33.0,1000.0
Machine Learning for Tomographic Imaging,"Professor Ge Wang, Professor Yi Zhang, Professor Xiaojing Ye, Professor Xuanqin Mou",2773.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7503/9780750322140.jpg,,411.0,Hardback,2020-03-15,Institute of Physics Publishing,English,0750322144,9780750322140,Bristol,United Kingdom,178.0,254.0,24.0,930.0
Cloud Computing for Machine Learning and Cognitive Applications,Kai Hwang,2300.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262036412.jpg,,624.0,Hardback,2017-06-16,MIT Press Ltd,English,026203641X,9780262036412,Cambridge,United States,203.0,229.0,27.0,1133.98
Algebraic Geometry and Statistical Learning Theory,Sumio Watanabe,2457.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5218/9780521864671.jpg,4.5,300.0,Hardback,2017-04-21,CAMBRIDGE UNIVERSITY PRESS,English,0521864674,9780521864671,Cambridge,United Kingdom,155.0,233.0,20.0,560.0
An Introduction to Support Vector Machines and Other Kernel-based Learning Methods,"Nello Cristianini, John Shawe-Taylor",2510.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5217/9780521780193.jpg,4.04,204.0,Hardback,2015-01-07,CAMBRIDGE UNIVERSITY PRESS,English,0521780195,9780521780193,Cambridge,United Kingdom,175.0,249.0,15.0,500.0
Machine Learning : a Concise Introduction,Steven W. Knox,2681.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1194/9781119439196.jpg,5.0,352.0,Hardback,2018-04-24,Wiley,English,1119439191,9781119439196,Hoboken,United States,160.0,235.0,22.0,726.0
Principles and Theory for Data Mining and Machine Learning,"Bertrand Clarke, Ernest Fokoue, Hao Helen Zhang",6046.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3879/9780387981345.jpg,3.33,786.0,Hardback,2009-08-01,Springer,English,0387981349,9780387981345,"New York, NY",United States,155.0,235.0,40.64,1467.0
Probability for Statistics and Machine Learning : Fundamentals and Advanced Topics,Anirban DasGupta,3947.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4419/9781441996336.jpg,4.12,784.0,Hardback,2011-05-27,Springer,English,1441996338,9781441996336,"New York, NY",United States,155.0,235.0,53.34,1364.0
"Big Data, Data Mining, and Machine Learning : Value Creation for Business Leaders and Practitioners",Jared Dean,1704.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1186/9781118618042.jpg,4.0,288.0,Hardback,2014-05-27,Wiley,English,1118618041,9781118618042,New York,United States,176.0,229.0,25.0,494.0
"Python for Probability, Statistics, and Machine Learning",Jose Unpingco,3751.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3193/9783319307152.jpg,3.89,276.0,Hardback,2016-04-11,Springer,English,3319307150,9783319307152,Cham,Switzerland,155.0,235.0,17.53,720.0
Financial Signal Processing and Machine Learning,"Ali N. Akansu, Sanjeev R. Kulkarni, Dmitry M. Malioutov",2847.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1187/9781118745670.jpg,3.0,312.0,Hardback,2016-05-31,Wiley,English,1118745671,9781118745670,New York,United States,183.0,259.0,22.0,674.0
"The Invisible Brand: Marketing in the Age of Automation, Big Data, and Machine Learning",William Ammerman,733.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2604/9781260441253.jpg,3.83,320.0,Hardback,2019-07-21,McGraw-Hill Education,English,1260441253,9781260441253,OH,United States,,,,
Data-Driven Computational Neuroscience : Machine Learning and Statistical Models,"Concha Bielza, Pedro Larrañaga",2686.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108493703.jpg,,708.0,Hardback,2021-01-07,CAMBRIDGE UNIVERSITY PRESS,English,110849370X,9781108493703,Cambridge,United Kingdom,185.0,259.0,43.0,1490.0
Dynamics On and Of Complex Networks III : Machine Learning and Statistical Physics Approaches,"Fakhteh Ghanbarnejad, Rishiraj Saha Roy, Fariba Karimi, Jean-Charles Delvenne, Bivas Mitra",3600.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0301/9783030146825.jpg,,244.0,Hardback,2019-05-14,Springer,English,3030146820,9783030146825,Cham,Switzerland,155.0,235.0,16.0,553.0
Statistical Regression and Classification : From Linear Models to Machine Learning,Norman Matloff,4180.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1380/9781138066465.jpg,3.0,490.0,Hardback,2017-07-27,Taylor & Francis,English,113806646X,9781138066465,London,United Kingdom,156.0,235.0,33.02,862.0
"Machine Learning in Python : Hands on Machine Learning with Python Tools, Concepts and Techniques",Bob Mather,709.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9223/9781922300959.jpg,,126.0,Hardback,2019-07-15,Bob Mather,English,1922300950,9781922300959,,,148.0,210.0,10.0,304.0
Exploring Zynq MPSoC : With PYNQ and Machine Learning Applications,"Crockett H Louise, Northcote David, Ramsay Craig",2339.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/9929/9780992978761.jpg,,642.0,Hardback,2019-04-11,Strathclyde Academic Media,English,0992978769,9780992978761,,,203.0,254.0,35.0,1506.0
A Computational Approach to Statistical Learning,"Taylor Arnold, Michael Kane, Bryan W. Lewis",2476.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1380/9781138046375.jpg,3.5,362.0,Hardback,2019-02-05,Taylor & Francis,English,113804637X,9781138046375,London,United Kingdom,156.0,235.0,25.4,662.0
"Machine Learning for Signal Processing : Data Science, Algorithms, and Computational Statistics",Max A. Little,2245.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1987/9780198714934.jpg,,384.0,Hardback,2019-10-13,Oxford University Press,English,0198714939,9780198714934,Oxford,United Kingdom,194.0,250.0,25.0,982.0
Kernel Methods and Machine Learning,S. y. Kung,2188.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107024960.jpg,3.5,572.0,Hardback,2014-06-23,CAMBRIDGE UNIVERSITY PRESS,English,110702496X,9781107024960,Cambridge,United Kingdom,176.0,252.0,29.0,1350.0
Machine Learning and Medical Imaging,"Guorong Wu, Dinggang Shen, Mert Sabuncu",2821.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1280/9780128040768.jpg,,512.0,Hardback,2016-09-02,Elsevier Science Publishing Co Inc,English,0128040769,9780128040768,San Diego,United States,191.0,235.0,30.48,1220.0
"Machine Learning in Cyber Trust : Security, Privacy, and Reliability","Jeffrey J. P. Tsai, Philip S. Yu",4542.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3878/9780387887340.jpg,2.4,362.0,Hardback,2009-05-01,Springer,English,0387887342,9780387887340,"New York, NY",United States,155.0,235.0,22.86,703.07
Statistical Learning and Language Acquisition,"Patrick Rebuschat, John N. Williams",2117.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9340/9781934078235.jpg,4.0,523.0,Hardback,2012-09-14,De Gruyter,English,1934078239,9781934078235,New York,United States,155.0,230.0,39.37,899.0
Machine Learning in Radiation Oncology : Theory and Applications,"Issam El Naqa, Ruijiang Li, Martin J. Murphy",3867.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3191/9783319183046.jpg,5.0,336.0,Hardback,2015-06-30,Springer,English,3319183044,9783319183046,Cham,Switzerland,155.0,235.0,20.57,7143.0
Machine Learning in Chemistry : The Impact of Artificial Intelligence,Hugh M Cartwright,6425.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7880/9781788017893.jpg,,546.0,Hardback,2020-07-21,Royal Society Of Chemistry,English,1788017897,9781788017893,Cambridge,United Kingdom,156.0,234.0,35.56,1000.0
Machine Learning For Financial Engineering,"Laszlo Györfi, Gyorgy Ottucsak, Harro Walk",2173.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8481/9781848168138.jpg,4.0,260.0,Hardback,2012-03-16,Imperial College Press,English,1848168136,9781848168138,London,United Kingdom,,,,
Machine Learning with R,Abhijit Ghatak,2474.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8110/9789811068072.jpg,5.0,210.0,Hardback,2018-01-01,Springer,English,9811068070,9789811068072,Singapore,Singapore,155.0,235.0,14.22,4734.0
"A Machine Learning, Artificial Intelligence Approach to Institutional Effectiveness in Higher Education",John N. Moye,2414.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7897/9781789739008.jpg,,248.0,Hardback,2019-07-29,Emerald Publishing Limited,English,1789739004,9781789739008,Bingley,United Kingdom,152.0,229.0,20.32,466.0
Statistical Learning from a Regression Perspective,Richard A. Berk,2024.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030401887.jpg,4.42,433.0,Hardback,2020-06-30,Springer,English,303040188X,9783030401887,Cham,Switzerland,155.0,235.0,25.4,852.0
